date,beta
2012-08-01,0.4544219342836544
2012-09-01,0.45664309148803006
2012-10-01,0.4542494770762986
2012-11-01,0.4495914045440414
2012-12-01,0.4459569001754667
2013-03-01,0.4188975730294361
2013-04-01,0.3678599046390447
2013-05-01,0.21756419511609026
2013-06-01,0.25005972140926475
2013-07-01,0.14176604717963923
2013-08-01,0.058291172578453086
2013-09-01,-0.005575439480558434
2013-10-01,-0.05586316801260263
2013-11-01,-0.0797392416721073
2013-12-01,-0.09474618936486404
2014-03-01,-0.11857174437320271
2014-04-01,-0.13099780235375447
2014-05-01,-0.1277613171844757
2014-06-01,-0.10978640898222197
2014-07-01,-0.09223207384604433
2014-08-01,-0.07370776092586334
2014-09-01,-0.04544998230412283
2014-10-01,-0.010736490506877217
2014-11-01,0.01361057987860459
2014-12-01,0.03299600220920284
2015-03-01,0.08734338025217991
2015-04-01,0.13073109321937904
2015-05-01,0.1610680017350159
2015-06-01,0.17703839814014274
2015-07-01,0.18023693826828405
2015-08-01,0.18128159199123514
2015-09-01,0.18208021423033774
2015-10-01,0.18043714740847758
2015-11-01,0.17867775200551334
2015-12-01,0.17508742559699558
2016-03-01,0.16614210022398707
2016-04-01,0.1480622200914228
2016-05-01,0.11252831796750232
2016-06-01,0.07164624092089363
2016-07-01,0.04366236099152663
2016-08-01,0.02314231940239034
2016-09-01,-0.00029160708871092585
2016-10-01,-0.024770451938369183
2016-11-01,-0.025319647232566266
2016-12-01,-0.020038140950726493
2017-03-01,-0.01406156537997565
2017-04-01,-0.009429594987353391
2017-05-01,-0.0022174538562746058
2017-06-01,0.010586730010359348
2017-07-01,0.005737569341592078
2017-08-01,-0.004224985380057197
2017-09-01,-0.014109285230516971
2017-10-01,-0.017600339711510454
2017-11-01,-0.023474422255039495
2017-12-01,-0.021414107704986925
2018-03-01,-0.013390362097736128
2018-04-01,0.009175021487843944
2018-05-01,0.06538160307781025
2018-06-01,0.14993364841638648
2018-07-01,0.19793766680931082
2018-08-01,0.212695430635797
2018-09-01,0.21153210750265017
2018-10-01,0.20054409262681858
2018-11-01,0.15741988885278127
2018-12-01,0.11449518597984963
2019-03-01,0.06686494245669053
2019-04-01,-0.008471782066788058
2019-05-01,-0.05905423849103971
2019-06-01,-0.0826624026842509
2019-07-01,-0.13608802793154176
2019-08-01,-0.16925529094995734
2019-09-01,-0.1946597265624044
2019-10-01,-0.2182424122951951
2019-11-01,-0.22839132767735773
2019-12-01,-0.2173490986877982
2020-03-01,0.37883858133255277
2020-04-01,0.7824964237475529
2020-05-01,1.0751832702557031
2020-06-01,1.2898907347445232
2020-07-01,1.5003974783918566
2020-08-01,1.6581064026180494
2020-09-01,1.7047828175537214
2020-10-01,1.6673015763193209
2020-11-01,1.5510135609068973
2020-12-01,1.4034165326209622
2021-03-01,0.8190969309450102
2021-04-01,0.5865450516231414
2021-05-01,0.4663964460866218
2021-06-01,0.3526925686933248
2021-07-01,0.27213309135914415
2021-08-01,0.33141623856773783
2021-09-01,0.2918816389001567
2021-10-01,0.12460026940004086
2021-11-01,0.05790919169551926
2021-12-01,0.07282452351678026
2022-03-01,0.42516775369700305
2022-04-01,1.2747309003313667
2022-05-01,1.545932942760038
2022-06-01,1.1341041811386656
2022-07-01,1.3659393960628596
2022-08-01,1.3068217949562333
2022-09-01,1.3225457476908435
2022-10-01,1.4472244144049842
2022-11-01,1.7086626106415554
2022-12-01,1.8471396618188345
2023-03-01,1.7872330993416146
2023-04-01,1.6930433284494857
2023-05-01,1.6984583704567016
2023-06-01,1.8067803808432201
2023-07-01,1.2251016611863923
2023-08-01,0.93468532944584
2023-09-01,0.7267021974177689
2023-10-01,0.43464228041856595
2023-11-01,0.19095145450024734
2023-12-01,0.2603365736332389
2024-03-01,0.247288905082461
2024-04-01,0.20850450610666577
2024-05-01,0.1266502625780935
2024-06-01,0.34879512044677435
2024-07-01,0.6624212286287409
2024-08-01,1.078617813668206
2024-09-01,1.1290907391023586
2024-10-01,0.9550950371540798
2024-11-01,0.9133089133253924
2024-12-01,0.8574598171970358
2025-03-01,0.8085144340120275
2025-04-01,0.8108318454734987
2025-05-01,0.8585157612234767
2025-06-01,0.9135128596108854
2025-07-01,0.8617787696159082
2025-08-01,0.5960787315702588
2025-09-01,0.39782375361318023
2025-10-01,0.4607043714581766
2025-11-01,0.5425276523104295
2025-12-01,0.5665884059260251
2026-03-01,0.5771245811987683
2026-04-01,0.44671782446077507
2026-05-01,0.016828434874364234
2026-06-01,-0.43271371392207825
2026-07-01,-0.5217188901796641
