"term","estimate","se","pvalue","breaks","bic"
"k=0",44.1233921020197,0,0,"",-156.70968624616
"k=1",23.6597557538914,0,0,"2020-04-01",-234.076436951147
"k=2",18.2844624372619,0,0,"2020-04-01;2023-09-01",-260.274495764061
"k=3",18.2844624372619,0,0,"2020-04-01;2023-09-01",-250.391210918842
"k=4",18.2844624372619,0,0,"2020-04-01;2023-09-01",-240.507926073623
