term,estimate,se,pvalue
g2004_t2004,-.010503207634182,.023251029,.65146285
g2004_t2005,-.0704231117149773,.030984772,.023036441
g2004_t2006,-.1372586995652579,.036435667,.00016512049
g2004_t2007,-.1008113715255145,.034359232,.0033458078
g2006_t2006,-.0045946177155455,.017755197,.79580814
g2006_t2007,-.0412244795981348,.020229187,.041562803
g2007_t2007,-.0260543987659654,.016655434,.11774287
overall_simple,-.0399512643975509,.012034013,.0009006192
