term,estimate,se,pvalue
g2004_t2004,-0.010503246220962385,0.02325103636816633,0.6514617816025403
g2004_t2005,-0.07042315810314674,0.030984766757276648,0.023036327842101745
g2004_t2006,-0.1372587388894032,0.0364356642876865,0.00016511950803121955
g2004_t2007,-0.10081136308540414,0.03435922583467323,0.00334580455750344
g2006_t2006,-0.004594606952863042,0.017755196659276287,0.7958085900818614
g2006_t2007,-0.041224471546217466,0.02022918070410684,0.041562781911351765
g2007_t2007,-0.026054410719196626,0.016655435349252172,0.1177427180996129
overall_simple,-0.039951275155176325,0.012034012770185424,0.0009006159518933909
